id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
2,3.568726359,0.51,0.12,"['6630', '3047', '3053', '6333', '3065', '3071']",1.447139084,Jungle,"[8010, 9111, 9104, 8299, 8304, 8410]",8.50864382
61,3.809641443,0.48,0,"['6655', '3020', '3157', '3165', '3089', '3135']",5.950909643,Middle,"[8230, 8226, 8210, 8237, 8345, 8352]",10.86793362
516,3.364440576,0.5,0.01,"['3068', '3047', '3075', '3001', '3143', '3083']",5.44966138,Top,"[8437, 8446, 8473, 8451, 8345, 8347]",9.665458246
80,3.08846999,0.49,0.09,"['6692', '3047', '3071', '3053', '6333', '3179']",2.916989798,Support,"[8005, 9111, 9105, 8014, 8126, 8105]",15.38757498
78,3.332811792,0.49,0,"['3068', '3047', '3075', '3742', '4401', '3143']",3.850608439,Top,"[8437, 8401, 8473, 8453, 8345, 8352]",11.13559533
555,3.006022412,0.47,0.07,"['6691', '3117', '3142', '3179', '3814', '3026']",1.687072102,Support,"[9923, 8126, 8138, 8106, 8444, 8242]",25.25232842
246,2.900681054,0.44,0,"['6692', '3142', '3814', '3117', '3179', '6676']",4.908117765,Middle,"[8112, 8143, 8138, 8135, 8345, 8352]",10.5578047
133,2.535692084,0.51,0.01,"['6672', '3006', '3181', '3095', '6676', '3031']",5.349948331,Top,"[8005, 9101, 9104, 8017, 8139, 8135]",9.671515527
497,3.999638666,0.48,0,"['2065', '3117', '3050', '3107', '3504', '6616']",1.249154229,Support,"[8465, 8463, 8473, 8242, 8136, 8106]",28.7424492
33,4.135225223,0.52,0.07,"['3068', '3075', '3047', '3742', '3001', '3143']",0.833181164,Jungle,"[8439, 8463, 8429, 8242, 9111, 9104]",8.182453459
421,3.27219412,0.47,0,"['6693', '3047', '3814', '3053', '3071', '3026']",0.71186625,Jungle,"[8010, 9111, 9104, 8014, 8275, 8232]",8.298113743
526,3.208964969,0.51,0.02,"['3190', '3047', '3050', '3075', '3109', '3742']",1.354862622,Support,"[8439, 8463, 8429, 8451, 9111, 9105]",23.39899166
58,2.738316616,0.48,0.05,"['6630', '3047', '3071', '3053', '3153', '6333']",6.317067382,Top,"[8005, 9111, 9104, 8299, 8446, 8473]",9.708880062
107,3.093250686,0.47,0.02,"['6692', '6676', '3047', '3508', '3074', '3142']",1.813780091,Jungle,"[8010, 9111, 9104, 8014, 8143, 8135]",8.430647359
